,,,MRTA UNDERGROUND STRUCTURE-SOUTH,,,,,Location: SILOM STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Contractor: JV BCKT,,,,,Type of Instrument & No.,,,IN-3-DS-5 (A) Axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Construction Office: B,,,,,Readout No.: DATAMATE,,,S/N:11248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Subcontractor: LEO JOVIAN,,,,,Date:,12/31/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Base Date:  13/03/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deflection,,,,,,,,,,,,Elevation (m),12/11/1999,12/13/1999,12/17/1999,12/21/1999,12/24/1999,12/28/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.00,5.04,,,,,,,29.96,,0.00,,,30.50,2.98,3.51,3.77,3.72,4.27,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.50,4.80,,,,,,,-0.68,,46.00,,,31.00,2.95,3.37,3.73,3.50,4.01,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.00,4.60,,,,,,,29.96,,0.00,,,31.50,2.87,3.21,3.65,3.26,3.73,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.50,4.24,,,,,,,-0.76,,18.50,,,32.00,2.68,3.01,3.39,3.00,3.51,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.00,4.00,,,,,,,,,,,,32.50,2.56,2.80,3.20,2.77,3.26,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.50,3.83,,,,,,,,,,,,33.00,2.31,2.48,2.92,2.49,2.98,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.00,3.53,,,,,,,,,,,,33.50,2.06,2.31,2.41,2.16,2.65,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.50,3.12,,,,,,,,,,,,34.00,1.92,2.21,2.29,2.02,2.53,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.00,3.02,,,,,,,,,,,,34.50,1.79,2.06,2.12,1.83,2.30,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.50,2.89,,,,,,,,,,,,35.00,1.65,1.91,1.91,1.64,2.03,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.00,2.55,,,,,,,,,,,,35.50,1.51,1.75,1.69,1.46,1.99,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.50,2.39,,,,,,,,,,,,36.00,1.12,1.37,1.25,1.08,1.59,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.00,2.09,,,,,,,,,,,,36.50,0.64,1.00,1.56,1.29,1.76,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.50,2.16,,,,,,,,,,,,37.00,0.63,0.96,1.50,1.23,1.74,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.00,2.06,,,,,,,,,,,,37.50,0.58,0.89,1.41,0.86,1.39,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.50,1.67,,,,,,,,,,,,38.00,0.61,0.95,1.43,0.86,1.33,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.00,1.57,,,,,,,,,,,,38.50,0.64,0.99,1.49,0.86,1.29,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.50,1.49,,,,,,,,,,,,39.00,0.65,1.03,1.50,0.87,1.37,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.00,1.49,,,,,,,,,,,,39.50,0.73,1.06,1.59,0.90,1.44,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.50,1.54,,,,,,,,,,,,40.00,0.61,0.93,1.44,0.77,1.29,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.00,1.35,,,,,,,,,,,,40.50,0.53,0.87,1.34,0.69,1.11,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.50,1.09,,,,,,,,,,,,41.00,0.43,0.78,1.17,0.58,0.96,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.00,0.90,,,,,,,,,,,,41.50,0.56,0.95,1.35,0.71,0.94,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.50,0.84,,,,,,,,,,,,42.00,0.74,1.13,1.57,0.87,1.04,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.00,0.86,,,,,,,,,,,,42.50,0.95,1.28,1.86,1.04,1.01,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.50,0.89,,,,,,,,,,,,43.00,0.84,1.16,1.66,0.90,0.85,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
